																		T	Q number		Examiner			Year	Description	
																			5M		Walletzký			2021	Marketing Mix. Začala som definovaním marketingu, Marketing Frameworkom, spomenula som analýzu prostredia, STP a prešla na konkrétne druhy marketing mixov. Chcel počuť  4P, 5P, 7P, 4S, 4C, 7C. A diskutovali sme okolo jednotlivých bodov. Chcel tiež počuť rozdiel medzi price (zo 4P) a costs (z 4C).	Marketing Mix. I started by defining marketing, the Marketing Framework, I mentioned environmental analysis, STP and moved on to specific types of marketing mixes. He wanted to hear 4P, 5P, 7P, 4S, 4C, 7C. And we discussed individual points. He also wanted to hear the difference between price (from 4P) and costs (from 4C).
																			8S		Batko			2021	Digitálny podpis. Bavili sme sa o autentizácii, autorizácii, typoch autentizácie a potom bližšie o biometrii. Chcel odo mňa počuť problémy biometrie (že sa dá ukradnúť a nevieme ju potom zmeniť, ako napríklad u hesla). Potom sme prešli k digitálnemu kľúču. Chcel počuť spomenuté RSA a eliptických krivkách. Privátny, verejný kľúč a certifikačnú autoritu. Diskusiu potom viedol okolo odcudzenia privátneho kľúča certifikačnej autority, zaujímalo ho, čo je potom útočník schopný urobiť.	Digital signature. We talked about authentication, authorization, types of authentication and then more about biometrics. He wanted to hear from me the problems of biometrics (that it can be stolen and we can't change it afterwards, like for example with a password). Then we moved on to the digital key. Wanted to hear mention of RSA and elliptic curves. Private, public key and certification authority. He then led the discussion around the theft of the private key of the certification authority, he was interested in what the attacker is then able to do.
																			7S		Batko			2021	SQL jazyk (DML - co tam patří), zpracování dotazu + statistiky (nelíbila se mu zmínka o interní reprezentaci, plan je pry jen jeden - celkove definice z materialu nebyla podle nej spravne), indexování - nelíbilo se označení "konvenční index", ptal se na složitost vyhledávání B-stromu a hashování, u hashování chtěl vědět jak přesně to funguje	SQL language (DML - what's included), query processing + statistics (he didn't like the mention of internal representation, there was only one plan - the overall definition from the material wasn't correct in his opinion), indexing - he didn't like the term "conventional index", he asked about the complexity of B-tree search and hashing, and he wanted to know how hashing works exactly.
																			4M		Walletzký			2021	Teorie vitality, pyramida, ptal se jak funguje zlepšování v jednotlivých vrstvách, co když manager řekne, že je vše dokonalé - co potom => získat podnět zvenčí (asi) 	Vitality theory, pyramid, asked how improvement works in individual layers, what if the manager says that everything is perfect - what then => get an incentive from outside (probably)
																			6S		Čeleda			2021	DNS, DHCP, TCP, IP, vymenovat well known porty.  navadzal, super, spociatku som vobec nechapal co odo mna chce, ale ked som zacal zosiroka opisovat komunikaciu cez jednotlive vrstvy ISO/OSI, tak sa postupne pytal na veci co ho konkretne zaujimali. 	DNS, DHCP, TCP, IP, name well known ports.  he replied, great, at first I didn't understand what he wanted from me at all, but when I started to broadly describe the communication through the individual layers of ISO/OSI, he gradually asked about things that specifically interested him. 
																			8S		Krhovják			2021	Podpisy - elektronicky, zaruceny, uznavany, digitalny; a/symetricka kryptografia, hashovanie (priklady na vsetko), PKI. spytal sa na hashovanie s klucom/bez kluca - to som nepochopil, ssl/tls. spytal sa doplnujucu otazku k sietam na 'plug and play'. celkovo velmi mily, snazil sa pomoct ked som tapal	Signatures - electronic, guaranteed, acknowledged, digital; a/symmetric cryptography, hashing (examples for everything), PKI. he asked about hashing with a guy/without a guy - I didn't understand that, ssl/tls. asked a supplementary question about 'plug and play' networks. overall very nice, he tried to help when I was struggling
																			7M		Matyáš			2021	obaval som sa ho, ale bol super. spytal sa 'zakernu otazku' - teambuilding.  vyrapotal som nieco o teamoch, synergii, vymenoval som zopar cielov, nieco o problemoch/konfliktoch a zakoncil tym, ze v praxi vezme manazer podriadenych na pivo	I was afraid of him, but he was great. he asked a 'tricky question' - team building.  I explained something about teams, synergy, listed a couple of goals, something about problems/conflicts and ended by saying that in practice the manager takes subordinates for a beer
																			1M		Ráček			2021	PPP, priklady agilnych metodik (povedal som XP a SCURM), potom chcel presnejsie SCRUM a aky standard by som zvolil pre riadenie projektu so SCRUMom (povedal som PMBOK), nakoniec chcel rozdiel medzi PMBOK a PRINCE2. Racek sa ma tam ale snazil tak 2x dostat na niecom co som povedal len tak okrajovo (rozdiel medzi riadenim projektu a produktu, konkretny priklad programu a portfolia). 	PPP, examples of agile methodologies (I said XP and SCURM), then he wanted more precisely SCRUM and what standard I would choose for project management with SCRUM (I said PMBOK), finally he wanted the difference between PMBOK and PRINCE2. However, Racek tried twice to get at something that I said only marginally (the difference between project and product management, a concrete example of a program and a portfolio). 
																			3S		Ošlejšek			2021	Use case diagram - system, akteri (3 typy - osoby, systemy, cas), pripady pouzitia, vztahy (import, extend, generalizacia). Generalizacia pri akteroch, konkretny priklad. Ako mozem specifikovat jeden use case (strukturovany text alebo sequence diagram)	Use case diagram - system, actors (3 types - persons, systems, time), use cases, relationships (import, extend, generalization). Generalization for actors, concrete example. How can I specify a use case (structured text or sequence diagram)
																			3M		Ošlejšek			2021	ITSM + ITIL, SOA, Service Stategy + Design + Transition + Operation + Continual Process Improvement, ku kazdemu siel celkom hlboko, chcel pocut o co tam ide, vysvetlit buzzwordy, klucove cinnosti + procesy. Snazil sa mi dost pomahat, no zaroven chcel pocut ku kazdemu "kroku" dost detailne veci.	ITSM + ITIL, SOA, Service Strategy + Design + Transition + Operation + Continual Process Improvement, he went quite deep to each one, he wanted to hear what it was about, explain the buzzwords, the guys' activities + processes. He tried to help me a lot, but at the same time he wanted to hear quite detailed things about each "step".
																			1M		Ráček			2021	Metriky zalozene na zlozitosti, cyklomaticka zlozitost, na co je uzitocna, nasledne testovanie, V model vysvetlit, v ktorej casti V modelu sa aplikuje cyklomaticka zlozitost, validacia x verifikacia, vysvetlit typy testov (unit a integracne), integracne postupy (zhora-dole, zdola-hore), nasledne chcel pocut inu metriku zalozenu na zlozitosti (tu som nevedel). Celkovo celkom pomahal, obcas si kopol (ked som napr. V model zacal vysvetlovat z uplne zleho konca), ale na koniec ma naviedol na spravnu odpoved.	Metrics based on complexity, cyclomatic complexity, what is it useful for, then testing, Explain in the model in which part cyclomatic complexity is applied in the model, validation x verification, explain the types of tests (unit and integration), integration procedures (top-down, bottom-up), then he wanted to hear another metric based on complexity (I didn't know here). Overall, he was quite helpful, sometimes he kicked me (when, for example, I started explaining the model from the wrong end), but in the end he guided me to the right answer.
																			3M		Ráček			2021	Metriky najprv všeobecne, potom som načal KLOC tak tam chcel detaily, či je to metrika zdrojova/produktova/procesna, aké má vlastnosti (zavisla od jazyka, programatora), potom Funkčné body, priklad ILF, EI, vzorec ako to počítať, nejake priklady z tych 14 charakteristik, ked som nevedel tak mi napovedal alebo ma opravil	Metrics first in general, then I started KLOC, so I wanted details there, whether it is a resource/product/process metric, what characteristics it has (it depended on the language, the programmer), then Functional points, an example of ILF, EI, a formula for how to calculate it, some examples of the 14 characteristics, if I didn't know, he told me or corrected me
																			6S		Ošlejšek			2021	Mal som sieťovú diplomku, tak najprv chcel popisať smerovacnie algoritmy (Link state vs Distance vector), akou metrikov hodnotia cestu (hop-by-hop vs link state - bandwidth, jitter, latency). Potom nacrtnut celý ISO-OSI model a povedať niečo ku každej vrstve. V L3 ma zastavil a chcel vedieť čo potrebujem nastaviť na pripojenie PC k internetu ak nemám DHCP (evidentne oblubena otazka) -> chcel počuť IP, Gateway, Mask a potom vysvetliť čo každá tá vec robí a na čo je dobrá. 	I had a diploma in networking, so first I wanted to describe the routing algorithms (Link state vs Distance vector), which metrics evaluate the path (hop-by-hop vs link state - bandwidth, jitter, latency). Then draw the entire ISO-OSI model and say something about each layer. He stopped me in L3 and wanted to know what I need to set up to connect my PC to the Internet if I don't have DHCP (obviously a popular question) -> he wanted to hear IP, Gateway, Mask and then explain what each thing does and what it is good for. 
																			1S		Walletzký			2021	Systém služeb: klient, provider, target - definice, vztahy (mention a use), spolupracující a duální systém	Service system: client, provider, target - definition, relationships (mention and use), collaborative and dual system
																			4S		Batko			2021	SW architektury - od monolitu po layered architekturu, SOA	SW architectures - from monolith to layered architecture, SOA
																			3S		Batko			2021	UML - zakladne delenie (structural vs behavioral) s prikladmi, vazby v class diagrame, kreslila som sekvencny a use case	UML - basic division (structural vs behavioral) with examples, links in class diagrams, I drew sequences and use cases
																			8S		Švenda			2021	pytal sa na analyzu rizik k diplomke, ako by som zistila čo je aktívum, akých poznáme útočnikov, prečo útočia,... potom sa pýtal ako by som testovala SW (najviac ho zaujímali unit testy, ale chcel počuť o integrčných testoch s mock objektmi, ja som ešte hovorila o black vs. white box testoch), ďalej sa pýtal ako by som odhadla cenu SW (odhadovanie, expertný posudok, analógia, spomínala som odhadovanie zhora-dolu a naopak, COCOMO a FP, na COCOMO ani FP sa nepýtal konkrétne)	he asked about the risk analysis for the diploma, how I would find out what an asset is, what kind of attackers we know, why they attack,... then he asked how I would test SW (he was most interested in unit tests, but he wanted to hear about integration tests with mock objects, I also talked about black vs. white box tests), then he asked how I would estimate the price of SW (estimation, expert opinion, analogy, I mentioned estimation from top to bottom and vice versa, COCOMO and FP, he did not specifically ask about COCOMO or FP)
																			1M		Batko			2021	Metriky zalozene na zlozitosti, cyklomaticka zlozitost, na co je uzitocna, nasledne testovanie, V model vysvetlit, v ktorej casti V modelu sa aplikuje cyklomaticka zlozitost, validacia x verifikacia, vysvetlit typy testov (unit a integracne), integracne postupy (zhora-dole, zdola-hore), nasledne chcel pocut inu metriku zalozenu na zlozitosti (tu som nevedel). Celkovo celkom pomahal, obcas si kopol (ked som napr. V model zacal vysvetlovat z uplne zleho konca), ale na koniec ma naviedol na spravnu odpoved.	Metrics based on complexity, cyclomatic complexity, what is it useful for, then testing, Explain in the model in which part cyclomatic complexity is applied in the model, validation x verification, explain the types of tests (unit and integration), integration procedures (top-down, bottom-up), then he wanted to hear another metric based on complexity (I didn't know here). Overall, he was quite helpful, sometimes he kicked me (when, for example, I started explaining the model from the wrong end), but in the end he guided me to the right answer.
																			6S		Švenda			2021	Pýtal sa celkom praktickú otázku, akym spôsobom by som pripojil moje zariadenie (ktoré som mal v diplomovke) k internetu a teda k nejakému inému zariadeniu na sieti a ako by som to cele zabezpečil. Celkom ma otázkou zaskočil siete nie su moja silná stránka a nechcel som ich dostať, ťahal to zo mna a par krát napovedal, základy som vedel, iso/osi som mal naučené ale nejako som si to celé nevedel spojiť dohromady, po celkom ľahkej prvej otázke mi podkopol morálku. Snažil sa napomáhať často som tipoval ale ked prišlo k niečomu co som vedel (tcp, udp, ipsec, smerovanie, adresovanie) tak tie som sa snažil co najpresnejšie popísať aby bolo vidno ze aspoň niečo viem. Na konci mi aj povedal ze to zo začiatku vyzeralo biedne ale ku koncu som si to vylepšil. Mal som z neho ale dobrý pocit a viem ze keby sa ma na rovnakú vec pýtali iní tak by mi asi nepomohli a dopadlo by to horšie. 	He asked a very practical question, how would I connect my device (which I had in my diploma book) to the Internet and therefore to some other device on the network and how would I secure the whole thing. He completely surprised me with a question, networks are not my strong point and I didn't want to get them, he dragged it out of me and hinted a couple of times, I knew the basics, I had learned iso/axis but somehow I couldn't put it all together, after a fairly easy first question he undermined my morale. He tried to help, I often guessed, but when it came to something I knew (tcp, udp, ipsec, routing, addressing) I tried to describe it as accurately as possible to show that I at least knew something. At the end, he also told me that it looked poor at first, but I improved it towards the end. However, I had a good feeling about him and I know that if others had asked me the same thing, they probably wouldn't have helped me and it would have turned out worse. 
																			6S		Batko			2021	Čo je to počítačová sieť, popísať ISO/OSI model, jednotlivé vrstvy, ich funkcionalita, dátové jednotky a protokoly	What is a computer network, describe the ISO/OSI model, individual layers, their functionality, data units and protocols
																			3M		Ošlejšek			2021	Čo je to IT služba, popísať ITIL, 5 fáz, ku každej povedať, čo sa v nej deje a aké sú tam funkcie	What is an IT service, describe ITIL, 5 phases, tell each one what happens in it and what functions are there
																			2S		Walletzký			2021	2021	2021
																			5S		Bühnová			2021	Cloudove architektury, SOA, vyhody SOA architektury, porovnat IAAS, PAAS a SAAS. Celkovo dost povrchne, velmi pomahala, ak videla, ze nieco viem viac, sla tym smerom.	Cloud architectures, SOA, advantages of SOA architecture, compare IAAS, PAAS and SAAS. Overall, quite superficial, she was very helpful, if she saw that I knew something more, she sent me in that direction.
																			1M		Ráček			2021	Klasicikace metrik (procesní, produktové, zdrojové) plus příklady jednotlivých z nich; Cyklomatická složitost - princip výpočtu, k čemu je dobrá a co ukazuje; LOC metriky - klady, zápory, specifika; Project cost calculation - COCOMO/COCOMO2 - co počítá, hlavní myšlenka, režimy (3 úrovně detailu, 3 vývojové módy, resp. 3 modely u COCOMO2); Funkční body - k čemu, jak se počítají, jaké jsou jejich typy. Celkově - podstatou není memorování, ale schopnost vysvětlit podstatu a kontext daného termínu. Nejlépe se to učí v případě, kdy si znalosti navazujete na praktické zkušenosti.	Classification of metrics (process, product, resource) plus examples of each of them; Cyclomatic complexity - the principle of calculation, what it is good for and what it shows; LOC metrics - pros, cons, specifics; Project cost calculation - COCOMO/COCOMO2 - what it calculates, main idea, modes (3 levels of detail, 3 development modes, or 3 models in COCOMO2); Function points - what it is for, how they are calculated, what their types are. Overall - the essence is not memorization, but the ability to explain the essence and context of a given term. It is best learned when you link your knowledge to practical experience.
																			2S		Walletzký			2021	Four diamond model - vybrat si dva diamanty, nakreslit včetně vazeb, vysvětlit jejich podstatu a uvést příklady.	Four diamond model - choose two diamonds, draw them including the bonds, explain their essence and give examples.
																			5S		Bühnová			2021	Cloud a distribuované systémy, příjemný pokec a snažila se pomáhat	Cloud and distributed systems, nice chat and she tried to help
																			4M		Walletzký			2021	Teorie vitality poměrně podorobně, ptal se hlavně jak víme, že jsme toho stupně dosáhli (to že firma vydělává, zpětná a dopředná vazba - leader na trhu) + semafor vitality (možnosti vs požadavky - vysvětlit že požadavky jsou externí od zákazníků, a že chceme mít více možností než požadavků kvůli možnosti inovace). Obecně se mi snažil dost pomáhat a nasměrovat mě správným směrem, když mi něco vypadlo tak se snažil doplňovat.	The theory of vitality in quite detail, he mainly asked how we know that we have reached that level (that the company is making money, feedback and feed-forward - market leader) + the traffic light of vitality (options vs requirements - explain that requirements are external from customers, and that we want to have more options than requirements due to the possibility of innovation). In general, he tried to help me a lot and point me in the right direction, if I missed something, he tried to fill it in.
																			4M		Walletzký			2021	Vitalita, co to je, jak se urcuje, semafor, pyramida vitality, priklad kdy dynamika firmy nefungovala, teorie omezeni. Pokud odstranite constraint v některé vrstve pyramidy, je potreba pak prochazet znovu od první vrstvy nahoru. Nekolikrat jsem se zasekl, vzdycky pomohl, dal tak 3 pokusy a pripadne si odpovedel nakonec sam. Byli hafo v pohode, asi dobra nalada.	Vitality, what is it, how is it determined, traffic light, vitality pyramid, example when the dynamics of the company did not work, theory of constraints. If you remove a constraint in a layer of the pyramid, you then need to go back up from the first layer. I got stuck a few times, they always helped, gave me about 3 tries and eventually answered it myself. They were pretty cool, probably in a good mood.
																			3S		Ošlejšek			2021	Use case diagram, vse okolo toho, akteri, vztahy, extension points, jak se specifikuje jeden use case (strukturovanym textem), co by mel obsahovat ten text	Use case diagram, everything about it, actors, relationships, extension points, how to specify a use case (in structured text), what the text should contain
																			1M		Ráček			2022	Critical path method a PERT. Byl celkem příjemnej a snažil se napovídat/směřovat k tomu, co chtěl slyšet. Prvně jsem nakreslil AON síťový diagram podle toho, co mi diktoval a pak chtěl vypočítat critical path (ta dopředná + zpětná metoda). Navazoval na to otázkama, co se stane, když se zpozdí nějaký task mimo critical path a o kolik se může task mimo critical path zpozdit, aby to neovlivnilo délku trvání projektu (konkrétně na tom nakresleném síťovém diagramu) + pak chtěl ještě přepočítat tu critical path, když se změní spojení uzlů z finish-to-start na start-to-start. U PERTu chtěl slyšet, že se vlastně používá pro odhady délky trvání a tím pádem se jím učují například ty ohodnocení uzlů na síťových grafech.	Critical path method and PERT. He was quite pleasant and tried to suggest/direct me to what he wanted to hear. First, I drew an AON network diagram according to what he dictated to me and then he wanted to calculate the critical path (the forward + backward method). He followed that up with questions about what happens if a task outside the critical path is delayed and how much a task outside the critical path can be delayed so that it does not affect the duration of the project (specifically on the drawn network diagram) + then he wanted to recalculate the critical path when the connection of nodes changes from finish-to-start to start-to-start. He wanted to hear about PERT that it is actually used for duration estimates and therefore teaches, for example, the evaluation of nodes on network graphs.
																			4S		Batko			2022	SW architektury obecně. Prvně popsat o co jde a pak se ptal na konkrétní architektury a jejich popis. Byl mega příjemnej a byla to spíš taková fajn diskuze. Snažil se to směřovat k diplomce a když jsem si nebyl jistej tím, co chce slyšet, tak vždycky napovídal. U SOA chtěl slyšet, že nevýhodou je to, že je tam multiple points-of-failure. A důležitý je, všude kde to je relevantní, zmínit loosely coupled. U diplomky fakt poslouchal a procházel si ji a ptal se na spoustu doplňujících otázek (fajn otázek, který odpovíte v pohodě, pokud jste to skutečně psali sami).	SW architectures in general. First, describe what it is about and then ask about specific architectures and their description. He was super pleasant and it was a nice discussion. He tried to direct it towards the thesis and when I wasn't sure what he wanted to hear, he always hinted. With SOA, he wanted to hear that the disadvantage is that there are multiple points-of-failure. And it is important, wherever relevant, to mention loosely coupled. With the thesis, he really listened and went through it and asked a lot of additional questions (good questions that you can answer easily if you really wrote it yourself).
																			verifikácia	verifikácia	Ročkai			2022	Opýtal sa na model checking, potom LTL, keď videl že v tom plávem tak nenapovedal ale pýtal sa na väčšie a väčšie detaily. Keď to nebolo nič moc, tak ako druhú otázku položil LTL abstrakciu ☠️	He asked about model checking, then LTL, when he saw that I was swimming in it, he didn't say so, but he asked for more and more details. When it wasn't much, he asked LTL abstraction ☠️ as the second question
																			2S		Švenda			2022	Otázka o autentizácii, biometriky, 2FA, tokeny. Napovedal, pomáhal keď som niečo nevedel. 	Question about authentication, biometrics, 2FA, tokens. He hinted, helped when I didn't know something. 
																			1M		Ráček			2022	agilní metodiky vývoje SW, porovnání s klasickými, kdo má na starost backlog ve SCRUMu, jak bych zákazníkovi nacenil SW při agilním vývoji = jádro systému klasicky podle přesné dokumentace a kalkulace předem, aby zákazník věděl do čeho jde, potom v průběhu, kdy se funkcionalita implementuje agilně, tak k tomu přidat nějaký tarif podle velikosti týmu, který sprintuje. Základní atributy agilního vývoje, kde chtěla slyšet hlavně code over documentation a communication over něco dalšího.	agile software development methodologies, comparison with classic ones, who is in charge of the backlog in SCRUM, how would I price the customer the software during agile development = the core of the system classically according to precise documentation and calculation in advance so that the customer knows what is involved, then during the process, when the functionality is implemented agilely, add a tariff according to the size of the team that sprints. Basic attributes of agile development, where she mainly wanted to hear code over documentation and communication over something else.
																			5S		Bühnová			2022	cloud, SOA a MVC, všechno obecně	cloud, SOA and MVC, everything in general
																			3M		Ošlejšek			2022	ITIL, všetky časti, vysvetliť čo sa deje v ktorej časti, základné procesy	ITIL, all parts, explain what happens in which part, basic processes
																			5M		Bühnová			2022	čo je to marketing, ako sa vytvára marketing stratégia (6C, STP), Marketing mix 4P, marketing research	what is marketing, how is a marketing strategy created (6C, STP), Marketing mix 4P, marketing research
																					Batko			2022	Počitačové siete - ISO/OSI zaklady, protokoly, reprezentacie na vrstvách	Computer networks - ISO/OSI basics, protocols, representation on layers
																					Walletzky			2022	Digitálny podpis - proces, mierne detaily	Digital signature - process, slight details
																					Ráček			2022	Síťový diagram, k čemu ho používáme, vazby start-start (SF, FF, FS) + příklady, jak nám vazby ovlivňují časy v síťovém diagramu, kritická cesta, PERT vzorec výpočtu	Network diagram, what we use it for, start-start links (SF, FF, FS) + examples of how links affect times in the network diagram, critical path, PERT calculation formula
																			7S		Batko			2022	Relační databáze - algebra, SQL, vyhodnocení dotazu, transakce	Relational databases - algebra, SQL, query evaluation, transactions
																			3S		Bühnová			2022	UML - obecně, nakreslit class diagram + popsat vazby, modely procesů, vyvažování modelů	UML - general, draw a class diagram + describe relationships, process models, model balancing
																					Batko			2022	Relační databáze - algebra, SQL, vyhodnocení dotazu, transakce	Relational databases - algebra, SQL, query evaluation, transactions
																					Walletzky			2022	Teorie vitality poměrně podorobně, ptal se hlavně jak víme, že jsme toho stupně dosáhli (to že firma vydělává, zpětná a dopředná vazba - leader na trhu) + semafor vitality. Snažil se dost pomáhat a nasměrovat, když mi něco vypadlo tak doplňoval. RSSS moc neni jeho kafe, ma malo tem z kterych zkouset	The theory of vitality in quite detail, he mainly asked how we know that we have reached that level (that the company is making money, feedback and forward feedback - market leader) + vitality traffic light. He tried to help and direct me a lot, if I missed something he would fill it in. RSSS is not really his cup of tea, I have few of those to try
																					Batko			2022	Komponentové systémy, chtěl vědět jak komponenta komunikuje s okolím a jak komponentu v systému používám, snažil se mě navést na dependency injection, potom se ptal co je potřeba zajistit, když tu komponentu používám = že existuje a je dostupná. Signatura komponent, zase poměrně podrobně chtěl vědět co musí obsahovat, k čemu je, jak ji generujeme a kde se ukládá/poskytuje.	Component systems, he wanted to know how the component communicates with the environment and how I use the component in the system, he tried to guide me to dependency injection, then he asked what needs to be ensured when I use the component = that it exists and is available. Component signature, he wanted to know in quite detail what it must contain, what it is for, how we generate it and where it is stored/provided.
																					Bühnová			2022	Agilní metodiky vývoje SW, porovnání s klasickými, kdo má na starost backlog ve SCRUMu, jak bych zákazníkovi nacenil SW při agilním vývoji = jádro systému klasicky podle přesné dokumentace a kalkulace předem, aby zákazník věděl do čeho jde, potom v průběhu, kdy se funkcionalita implementuje agilně, tak k tomu přidat nějaký tarif podle velikosti týmu, který sprintuje. Základní atributy agilního vývoje, kde chtěla slyšet hlavně code over documentation a communication over něco dalšího.	Agile software development methodologies, comparison with classic ones, who is in charge of the backlog in SCRUM, how would I price the customer the software during agile development = the core of the system classically according to precise documentation and calculation in advance so that the customer knows what is involved, then during the process, when the functionality is implemented agilely, add a tariff according to the size of the team that sprints. Basic attributes of agile development, where she mainly wanted to hear code over documentation and communication over something else.
																			4S		Bühnová			2022	Opis distribuovaných systémov a porovnanie s centralizovanými, opis could computing a jeh výhod a nevýhod, porovnanie IAAS-PAAS-SAAS	Description of distributed systems and comparison with centralized ones, description of could computing and its advantages and disadvantages, comparison of IAAS-PAAS-SAAS
																			3M		Batko			2022	Stručne ITSM a potom hlavne ITIL, opis jednotlivych fáz a čo je ich výstupom	Briefly, ITSM and then mainly ITIL, a description of the individual phases and what is their output
																			RSSS/5S		Čeleda			2022	Distribuované systémy všeobecne, cloud	Distributed systems in general, cloud
																			RSSS/8S		Švenda			2022	Digitálny podpis, PKI, súvisiace útoky	Digital signature, PKI, related attacks
																			4M		Bühnová			2022	Service Marketing. Konkrétně na marketingové strategie, porovnání marketingu produktu a služeb, na závěr na marketingový výzkum. Chtěla slyšet jak se dá segmentovat trh, v ránci výzkumu jaké jsou metody a příklady metrik.	Service Marketing. Specifically, marketing strategies, comparison of product and service marketing, and finally, marketing research. She wanted to hear how the market can be segmented, what methods and examples of metrics are used in research.
																			7S		Batko			2022	Nezbývalo už tolik času, takže se stihl zeptat je na to jak jsou data v relaci uložena, jak jsou ty data poskládáná na disku. Na závěr porovnání druhů indexů a jejich výhody, nevýhody.	There wasn't much time left, so he managed to ask them how the data is stored in the session, how the data is arranged on disk. Finally, a comparison of types of indexes and their advantages and disadvantages.
																			3M		Ošlejšek			2023	Na začátku přešel rovnou na ITIL. Chtěl slyšet co to je, k čemu je to dobré a ke každé knížce jaký je její účel a jaké tam jsou procesy. Stačili mu vyjmenovat 3 procesy od každé knížky a buď jsem si mohl vybrat který popíšu do detailu, nebo vybral on. U Service design považoval za důležitý proces Service level management, u kterého chtěl vyjmenovat jaké kvalitativní a kvantitativní požadavky má Service level agreement. U Service transiton považoval za důležitý Configuration a change management, který chtěl víc popsat. U Service operation chtěl vysvětlit rozdíl mezi event, incident a problem managementem. Krom ITILu se na nic neptal a byl spokojený i s trochu vágními odpovědmi.	At the beginning, he went straight to ITIL. He wanted to hear what it was, what it was good for, and what the purpose of each book was and what the processes were. All he had to do was list 3 processes from each book and either I could choose which one to describe in detail, or he could choose. In Service design, he considered Service level management to be an important process, for which he wanted to list the qualitative and quantitative requirements of the Service level agreement. In Service transition, he considered Configuration and change management to be important, which he wanted to describe in more detail. In Service operation, he wanted to explain the difference between event, incident and problem management. He didn't ask anything other than ITIL and was happy with somewhat vague answers.
																			5M		Ráček			2023	Jelikož jsem u předchotí otázky o ITIL zmínil 4P, tak pan Ráček zbystřil a místo toho co normálně zkouší mi dal otázku na marketing mix (Na konci zkoušení přiznal, že si tu otázku chtěl připomenout a že toho o ní nevěděl o moc víc, než jsem řekl). Nejdříve chtěl vědět co je marketing obecně, pak co je marketing mix. Následně ho zajimály 4,5,7P a 7C. Ke každému stačilo obecně říct o co jde a u některých chtěl uvést příklad. 	Since I mentioned the 4Ps in the previous question about ITIL, Mr. Ráček got smarter and instead of what he normally tests, he asked me a question about the marketing mix (At the end of the test, he admitted that he wanted to remind himself of the question and that he didn't know much more about it than I said). First, he wanted to know what marketing is in general, then what the marketing mix is. Then he was interested in the 4, 5, 7Ps and 7Cs. For each one, it was enough to say in general what it is about and for some he wanted to give an example.
																			1M		Ráček			2023	Pan Ráček po mně chtěl vysvětlit k čemu slouží a jak se počítá Critical path Method (CPM) a Program Evaluation and Review (PERT), začal jsem omáčkou okolo síťových diagramů, ale ta ho moc nezajímala. Po chvilce mně zastavil a chtěl přejít rovnou na příklad. Nadiktoval mi  několik vrcholů a jejich hodnoty a chtěl po mně ukázat výpočet CPM. Co mě trochu znejistilo bylo to, že při diktování grafu využil všechny typy spojení (start-to-start, start-to-finish, finish-to-start, finish-to-finish). Já si s těmito typy hran CMP nikdy nezkoušel, ale nějak jsem si to na místě odvodil, jak to ovlivní výpočet. Potom ještě velice stručně PERT, kde ho zajímalo pouze na co to je dobré a jaký je vzorec. Následně řekl, že mu to již stačí.	Mr. Ráček wanted me to explain what the Critical Path Method (CPM) and Program Evaluation and Review (PERT) are used for and how they are calculated. I started with a bit of a discussion about network diagrams, but he wasn't very interested in them. After a while, he stopped me and wanted to go straight to an example. He dictated several vertices and their values ​​to me and wanted to show me the CPM calculation. What made me a little uneasy was that he used all types of connections (start-to-start, start-to-finish, finish-to-start, finish-to-finish) when dictating the graph. I had never tried CPM with these types of edges, but I somehow deduced on the spot how it would affect the calculation. Then he very briefly talked about PERT, where he was only interested in what it was good for and what the formula was. He then said that that was enough for him.
																			6S		Dohnal			2023	siete - statické a dynamické smerovanie veľmi dopodrobna, ako vyzerajú routovacie tabuľky, autonómne systémy	networks - static and dynamic routing in great detail, how routing tables look, autonomous systems
																			3M		Bühnová        			2023	itil - v skratke načo slúži, soa, outsourcing	itil - in short what it is for, soa, outsourcing
																			4M		Walltezky			2023	Zaciatok bolo pomenovat vystupujuce strany vo firme - majitel a ostatni - potom stakeholder, shareholder, zamestnanci atd, potom rozdiel medzi shareholder a majitel (v pomere rozhodovacej moci majitel vacsinou ma najvacsiu), prechod na vitalitu, semafor, preco stabilita nestaci (lebo musime pripravovat firmu na buduce ciele tak aby sme boli stabilny - teda dolezitu rolu zohrava cas - napojenie na udrzatelna firma a semaror a poziadavky a moznosti firmy), nebolo to intuitivne hned na prvy pohlad co odo mna chceli ale casom sme sa k tomu dostali	The beginning was to name the parties in the company - the owner and others - then stakeholder, shareholder, employees, etc., then the difference between shareholder and owner (in terms of decision-making power, the owner usually has the most), transition to vitality, traffic light, why stability is not enough (because we have to prepare the company for future goals so that we are stable - so time plays an important role - connection to a sustainable company and semaror and the requirements and possibilities of the company), it was not intuitive at first glance what they wanted from me, but in time we got to it
																			5S		Batko			2023	SOAP, REST, definicia webovych sluzieb do podrobna (ta co je v podkladoch mi vobec nestacila), rozdiely sluzieb, SOAP - nie je prvy pokus o standardizaciu	SOAP, REST, the definition of web services in detail (the one in the documents was not enough for me at all), service differences, SOAP - this is not the first attempt at standardization
																					Batko			2023	Relační databáze - Spíš overall, nechal mě mluvit a když jsem na nějaký pojem narazil, tak ho chtěl občas vysvětlit nebo uvést příklad	Relational Database - More like an overall, he let me talk and when I came across a concept, he sometimes wanted to explain it or give an example
